school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
BAPS270009,https://www.liceicartesio.edu.it,1422,1587,3881,380,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.29,6.5,10.17,7.12,2.79
CSPS04901N,https://www.iiscastrolibero.edu.it,4816,1587,5680,265,6,9.0,1.0,2.0,4.0,2.86,2.17,1.69,3.54,4.67,3.06,3.59,2.5
RMPC29000G,https://www.liceocicerone.edu.it,1154,1587,2656,167,6,7.0,1.0,9.0,3.9,6.5,1.8,2.89,6.5,2.06,6.5,2.29,3.71
BGRI003014,https://www.bettyambiveri.edu.it,1023,1587,3862,282,3,9.0,3.0,8.0,3.8,1.59,2.95,2.38,3.37,3.79,1.59,2.35,2.58
LITF030009,https://www.galileilivorno.it,4683,1587,2924,615,9,2.0,1.0,15.0,3.7,5.09,2.75,3.09,3.45,2.85,7.0,4.99,2.7
RMTD10801T,https://www.iisviasilvestri301roma.edu.it/,1119,1587,1936,246,8,9.0,3.0,0.0,4.3,0.3,6.5,3.02,7.23,0.3,4.51,1.18,1.06
PSTD00701L,https://www.omnicomprensivourbania.edu.it,3330,1587,4441,425,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,10.65,6.48,2.79
MIPS08000T,https://www.liceovolta.it,482,1604,848,1,0,9.0,1.0,7.0,3.7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
PSPS020006,https://www.liceogmarconi.edu.it,1488,1587,4084,268,7,8.0,1.0,9.0,3.5,3.11,2.46,3.1,3.49,6.5,3.92,4.64,2.46
VVPC04000D,https://www.omnicomprensivobrunovinci.edu.it,5981,1587,7040,440,5,9.0,3.0,0.0,4.4,2.88,3.04,6.5,1.94,4.99,4.43,15.07,1.98
NARM01702P,https://www.iscolombo.edu.it,6372,1587,2974,668,7,7.0,1.0,7.0,4.0,7.0,0.36,0.31,0.33,0.35,5.38,7.0,0.36
SRPS14000A,https://www.liceocorbinosiracusa.edu.it,6295,1587,10150,294,5,9.0,1.0,1.0,-1.0,19.07,18.98,19.06,19.15,19.01,6.5,6.5,6.3
TOPS30000G,https://www.liceojuvarra.it/,5395,1587,4865,474,9,9.0,1.0,8.0,3.5,6.5,5.95,4.3,6.5,0.95,2.98,0.76,0.9
AVPC090004,https://www.liceocolletta.edu.it,3087,1587,4259,554,7,7.0,1.0,7.0,4.0,3.12,2.28,3.12,3.61,7.0,7.19,7.55,2.28
PDPS030003,https://www.liceonievo.edu.it,3116,1587,6870,306,7,8.0,1.0,14.0,3.4,6.5,2.46,5.68,2.85,2.46,6.5,4.06,3.04
RMPC31000G,https://www.liceokant.edu.it,2177,1587,3848,214,7,8.0,1.0,12.0,3.5,3.11,2.46,3.1,3.49,6.5,6.5,4.69,2.46
