school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
VITF05000Q,https://www.fermibassano.edu.it,2279,1587,4201,223,7,8.0,1.0,22.0,3.0,6.5,2.46,3.14,3.53,6.5,6.5,4.69,2.46
FEPC020005,https://www.liceoariosto.it,222,1604,848,1,0,5.0,1.0,0.0,4.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
SAPS04000B,https://www.liceosensale.edu.it,859,1587,1968,184,5,6.0,1.0,4.0,4.1,2.68,2.55,0.94,0.3,2.08,4.9,6.5,6.5
BATF079015,https://www.iissvoltadegemmis.edu.it,3095,1587,6083,243,4,9.0,2.0,35.0,2.7,1.53,2.07,1.54,3.63,3.07,2.58,4.0,6.5
RMPC06301E,https://www.liceoseneca.edu.it/,922,1587,3263,163,5,6.0,1.0,27.0,3.0,2.58,2.16,0.97,0.3,6.5,3.34,3.26,2.16
CSTF01601C,https://www.iisbisignano.edu.it,2354,1587,4611,360,7,3.0,3.0,5.0,4.2,2.91,2.99,6.5,2.0,3.7,2.89,1.89,2.04
TOPS069014,https://www.liceogalfer.it,5309,1587,4897,300,7,8.0,1.0,18.0,3.4,6.5,2.46,1.94,3.9,2.46,6.5,6.5,2.46
CTTD160007,https://www.iterusso.edu.it,6727,1587,8187,391,7,8.0,1.0,12.0,3.4,9.12,2.46,5.98,2.09,2.46,6.5,6.5,2.46
AQTA01701Q,https://agrarioavezzano.edu.it/,928,1587,3170,375,10,9.0,3.0,13.0,3.5,6.5,1.76,4.69,6.33,1.91,6.5,6.5,1.76
FGTD044018,https://www.fianileccisotti.it,1912,1587,4380,468,7,2.0,3.0,33.0,3.3,2.62,3755.02,1.43,3755.33,3755.25,6.5,6.5,2.38
LOTF004013,https://www.iisvolta.edu.it,561,1587,2916,288,7,5.0,1.0,0.0,4.4,2.89,2.58,2.89,3.08,6.5,6.7,6.5,2.58
MITF03801E,https://www.iislagrange.edu.it,4212,1587,5525,271,7,8.0,1.0,0.0,4.0,2.64,2.09,2.63,3.01,6.5,6.5,3.72,2.09
PAPC030004,https://www.liceomeli.edu.it/,1071,1587,4562,465,9,7.0,1.0,26.0,3.6,53.3,53.27,53.6,89.34,6.5,12.04,6.5,53.62
COPS030001,https://web.liceogiovio.edu.it/_sito2020/,17529,1587,7768,853,9,1.0,1.0,7.0,3.5,4.06,2.39,3.83,2.97,4.0,4.12,3.02,3.41
PSTH003013,https://www.polotrefano.edu.it,5241,1587,3758,279,7,8.0,1.0,18.0,3.2,6.5,3.15,3.36,3.18,6.5,6.5,6.5,8.02
VERC012015,https://www.isisluzzatto.edu.it,4122,1587,3581,239,7,8.0,1.0,17.0,3.0,6.5,2.7,2.72,2.49,5.14,6.5,6.5,2.7
RMPC07000L,https://www.liceodantealighieri.edu.it,1624,1587,4341,372,7,5.0,1.0,3.0,4.1,2.89,2.58,2.89,3.08,6.5,2.01,5.3,2.58
NUTF012014,https://www.istitutosuperioresorgono.edu.it,2274,1587,2850,261,7,5.0,1.0,0.0,4.3,24.77,24.75,24.76,24.75,6.5,24.81,12.66,24.75
GETD013016,http://liceti.edu.it/,6629,1587,5528,269,7,8.0,1.0,20.0,3.0,3.15,2.46,3.15,3.55,6.5,6.5,7.28,2.46
CTSL01000A,https://www.liceoartisticocatania.edu.it,1139,1587,4613,320,7,5.0,1.0,3.0,4.2,2.89,2.58,2.89,3.09,6.5,10.06,5.52,2.58
AQRA007019,https://www.iisdavincicolecchiaq.edu.it,1605,1587,4478,639,9,1.0,1.0,5.0,3.8,3.83,2.22,2.27,2.65,3.2,0.3,3.17,2.78
TOTD038018,https://www.buniva.edu.it,3680,1587,4494,315,7,5.0,1.0,0.0,4.4,2.89,2.58,2.89,3.08,6.5,2.1,6.5,2.58
MIRI09101E,https://www.einaudimagenta.edu.it,1119,1587,5613,328,7,5.0,1.0,2.0,4.3,0.3,2.58,2.89,3.14,6.5,12.35,7.44,2.58
